ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
;;;"27";"Állandó lakcím / tartózkodási hely adatok rögzítése.";"A megnyitott oldalon megjelenik az Állandó lakcím / tartózkodási hely blokk, amelyben megadhatók az alábbi adatok: 
-Ország*
-Irányítószám*
-Település*
-Közterület / HRSZ*
-Közterület jellege*
-Házszám
-Épület
-Lépcsőház
-Emelet
-Ajtó

Az Ország mező értéke alapértelmezetten a Magyarország értéket veszi fel.
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"28";"Értesítési cím Megegyezik rádiógomb ki van pipálva.";"Amennyiben a rádiógomb ki van pipálva az Értesítési cím adatok rögzítéséhez szükséges mezők nem jelennek meg.";;;
;;;"29";"Értesítési cím Megegyezik rádiógomb nincs kipipálva, Értesítési cím adatok rögzítése.
";"Amennyiben a rádiógomb nincs kipipálva megjelenik az Értesítési cím blokk, amelyben megadhatók az alábbi adatok: 
-Ország*
-Irányítószám*
-Település*
-Közterület / HRSZ*
-Közterület jellege*
-Házszám
-Épület
-Lépcsőház
-Emelet
-Ajtó

Az Ország mező értéke alapértelmezetten a Magyarország értéket veszi fel.
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.";;;
;;;"30";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a ""Tovább"" gomb megnyomása.
";"A kattintást követően hiba nélkül tovább léptet a rendszer a folyamat következő lépésére. Az oldalon a fenti folyamat jelző linkjeinek a segítségével visszaléphetünk a korábbi lépésre, ahol a megjelennek a korábban megadott adatok megfelelő helyen és minőségben, a mezők tartalma szerkeszthető.
";;;
;;;"31";"Nyilatkozat rögzítése.";"A megnyitott oldalon megjelennek a Tanulói nyilatkozat rögzítéséhez szolgáló űrlap. 
A megjelnő kérdések mellett megjelenő rádiógombok értékeitől függően további adatok rögzítésére lehet szükség. Azon kérdések esetén ahol ""Igen"" érték esetén további adatok megadása szükséges a következő tesztek tartalmazzák.
 
A rádiógombok értéke alapértelmezetten a ""Nem"" értéket veszik fel.";;;
;;;"32";"2. A közúti járművezetéstől a bíróság, illetve szabálysértési hatóság jogerősen eltiltott kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt az alábbi mezők jelennek meg:
- AM
- A1
- A2
- A
- B
- B1
- BE
- C1
- C
- C1E
- CE
- D1
- D1E
- D
- DE
- Tr
- T
- K
- Ak
- M
- V
- Kezdő dátum választó (dátumválasztó, vagy manuális bevitel)*
- Vég dátum választó (dátumválasztó, vagy manuális bevitel)*
- Határozatlan ideig*

A kategóriákhoz tartozó jelölő négyzetek közül legalább egyet szükséges kipipálni az űrlap mentéséhez.

Amennyiben a Határozatlan ideig jelölő négyzet ki van pipálva a Vég dátum mezőben az esetlegesen korábban megadott dátum törlésre kerül és a mező nem szerkeszthető tovább.

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"33";"3. Bíróság kényszergyógyításomat vagy kényszergyógykezelésemet elrendelte kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt az alábbi mezők jelennek meg:
 - Kezdő dátum választó (dátumválasztó, vagy manuális bevitel)*
- Vég dátum választó (dátumválasztó, vagy manuális bevitel)*

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"34";"4. Hatóság a vezetési jogosultságom szünetelését jogerős és végrehajtható határozattal elrendelte kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt az alábbi mezők jelennek meg:
 - Kezdő dátum választó (dátumválasztó, vagy manuális bevitel)*
- Vég dátum választó (dátumválasztó, vagy manuális bevitel)*

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"35";"8. Bíróság vagy Hatóság a vezetésre jogosító okmányom visszaadását, vagy a vezetési jogosultság gyakorlását jártasság igazolásához, új járművezetői vizsgához, egészségi, pszichológiai alkalmasság igazolásához, utánképzés elvégzéséhez, vagy pályaalkalmasság igazolásához kötötte kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt a következő kérdés jelenik meg:
8a. Csak a 8. kérdésre adott „Igen” válasz esetén megválaszolandó. Ha bíróság vagy Hatóság a vezetésre jogosító okmányom visszaadását, vagy a vezetési jogosultság gyakorlását jártasság igazolásához, új járművezetői vizsgához, egészségi, pszichológiai alkalmasság igazolásához, utánképzés elvégzéséhez, vagy pályaalkalmasság igazolásához kötötte, akkor ezen kötelezettségemnek eleget tettem.

A kérdés mellett megjelennek a válasz megadásához szükséges rádiógombok.

";;;
;;;"36";"10. Két éven belül sikertelen közúti gépjárművezetői gyakorlati forgalmi vizsgát tettem a jelentkezési lapon megjelölt vezetői engedély kategóriából kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt az alábbi mezők jelennek meg:
- Ha igen, hol*
- Ha igen, mikor (dátumválasztó, vagy manuális bevitel)*

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"37";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a ""Tovább"" gomb megnyomása.
";"A kattintást követően hiba nélkül tovább léptet a rendszer a folyamat következő lépésére. Az oldalon a fenti folyamat jelző linkjeinek a segítségével visszaléphetünk a korábbi lépésre, ahol a megjelennek a korábban megadott adatok megfelelő helyen és minőségben, a mezők tartalma szerkeszthető.
";;;
;;;"38";"Összefoglaló megtekintése.";"A megnyitott adatlapon megjelenik a tanulói Jelentkezési lap nyomtatási képe a korábbi lépésekben rögzített adatokkal feltöltve a megfelelő helyen és minőségben.

Van lehetőség a jelentkezési lap jelen állapotának letöltésére és nyomtatására.

Az oldal alján megjelenik ""Mentés"" gomb ami aktív és kattintható.";;;
;;;"39";"Jelentkezési lap mentése a ""Mentés"" gombra kattintva.";"A gombra kattintva amennyiben a megelőző lépésekben hiányosan vagy hibásan kerültek megadásra adatok a rendszer hibaüzenettel figyelmeztet és lehetőség van ezek pótlására a megfelelő lépés linkjére kattintva a folyamat jelző sávban.

Amennyiben hiánytalanul és megfelelő minőségben kerültek megadásra az adatok, ezek mentésre kerülnek és a rendszer tovább navigál a következő oldalra: Iskola/UjKategoriasKepesitesJelentkezes/VezEngNyilatkozat/400023.

Az oldal alján megjelennek a ""Kihagyás"" és ""Nyilatkozat kitöltése"" gombok.";;;
;;;"40";"Vezetői engedély nyilatkozat kitöltése a ""Nyilatkozat kitöltése"" gombra kattintva.";"A gombra kattintva megjelenik az Automatikus vezetői engedély kiállítási nyilatkozat kitöltéséhez szükséges űrlap.
A megjelnő kérdések mellett megjelenő rádiógombok, illetve legördülő listák értékeitől függően további adatok rögzítésére lehet szükség. Azon kérdések esetén ahol ""Igen"" érték esetén, vagy a legördülő lista értéke alapján további adatok megadása szükséges a következő tesztek tartalmazzák.
 
A rádiógombok értéke alapértelmezetten az első kérdés kivételével a ""Nem"" értéket veszik fel.
";;;
;;;"41";"5. Okmányátvétel helyének kiválasztása kérdés esetén a legördülő listából az ""Átvétel kormányablakban/okmányirodában"" értéket választjuk.
";"Az érték kiválasztását követően a kérdés alatt az alábbi mező jelenik meg:
- Az átvétel helyének kiválasztása legördülő listából*
 
A legördülő lista értékeit képező hivatalokat, kormányablakokat, okmányirodákat a rendszer a paraméterekből tölti fel.

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"42";"5. Okmányátvétel helyének kiválasztása kérdés esetén a legördülő listából az ""Postázás egyéb belföldi postacímre"" értéket választjuk.
";"Az érték kiválasztását követően a kérdés alatt az alábbi mezők jelennek meg:
-Ország*
-Irányítószám*
-Település*
-Közterület / HRSZ*
-Közterület jellege*
-Házszám
-Épület
-Lépcsőház
-Emelet
-Ajtó

Az Ország mező értéke alapértelmezetten a Magyarország értéket veszi fel.
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"43";"6. Értesítési mód és elérhetőségi adat megadása kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt az alábbi mezők kitölthetővé válnak:
- E-mail cím
- SMS-fogadásra képes telefonszám.
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"44";"Hozzájárulok, hogy a Közlekedési Alkalmassági és Vizsgaközpont Nonprofit Kft. (KAV) a nyilatkozattal kapcsolatban tájékoztatást küldjön részemre. kérdés esetén az ""Igen"" értéket választjuk.
";"A rádiógomb ""Igen"" értékének kiválasztását követően a kérdés alatt az alábbi mezők kitölthetővé válnak:
- E-mail cím
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"45";"Nyilatkozat mentése az első négy kérdés esetén megadott ""Nem"" értékkel a ""Mentés"" gombra kattintva.";"A kattintást követően egy figyelmeztető ablak jelenik meg a következő üzenettel:
""Csak azon nyilatkozatok alapján indul a vezetői engedély automatikus hivatalbóli kiállítsa, melyeknél az első 4 kérdés mindegyikére igen választ nyilatkozik.
Folytatja a nyilatkozat mentését?""

A ""Nem"" gombra kattintva az ablak bezárul és folytatóható a nyilatkozat mezőinek szerkesztése, az ""Igen"" gombra kattintva a nyilatkozat mentésre kerül és a rendszer a következő oldalra navigál: Iskola/UjKategoriasKepesitesJelentkezes/CreateLezaroOldal/400023 (Összesítő).

A megjelenő oldalon az alábbi információk és funkciók érhetők el:
- Tanulói adatlap
- Nyilatkozatok a vezetői engedély automatikus kiállításához (""Auto. Vez. Eng. Nyomtatás"" gomb)
- Ellenőrzések
- Tanulói adatlap kezelése (""Tanulói adatlap szerkesztése"" gomb, ""Tanfolyamadatok"" gomb)
- Új tanulói adatlap kitöltés (""Új tanulói adatlap"" gomb)
";;;
;;;"46";"Nyilatkozat mentése az első négy kérdés esetén megadott ""Igen"" értékkel a ""Mentés"" gombra kattintva.
";"A gombra kattintást követően a nyilatkozat mentésre kerül és a rendszer a következő oldalra navigál: Iskola/UjKategoriasKepesitesJelentkezes/CreateLezaroOldal/400023 (Összesítő).
A megjelenő oldalon az alábbi információk és funkciók érhetők el:
- Tanulói adatlap
- Nyilatkozatok a vezetői engedély automatikus kiállításához (""Auto. Vez. Eng. Nyomtatás"" gomb)
- Ellenőrzések
- Tanulói adatlap kezelése (""Tanulói adatlap szerkesztése"" gomb, ""Tanfolyamadatok"" gomb)
- Új tanulói adatlap kitöltés (""Új tanulói adatlap"" gomb)
";;;
"125443";"Test Case";"Tanfolyamadatok rögzítése - SZK-002, SZK-006";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"115812";"Shared Steps";;"1";"Login (képző szerv) - Tanulói adatlap szerkesztése";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).
";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos
";;;
;;;"1_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)
";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút
";;;
;;;"1_3";"""Kategóriás"" gomb megnyomása
";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.
";;;
;;;"1_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.
";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.
";;;
;;;"1_5";"Hitelesítő kód megadása és belépés a rendszerbe
";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.
";;;
